scenario,param_label,v_measure_mean,v_measure_std,homogeneity_mean,completeness_mean,ari_mean,ami_mean,silhouette_mean,n_clusters_pred_mean,noise_ratio_mean,n_windows,v_measure_rank
mixed,cs10_ms10_eps0.1,0.8097,0.1804,0.9097,0.7676,0.7499,0.8070,0.6296,5.3100,0.0270,100,1.5000
mixed,cs10_msauto_eps0.1,0.8097,0.1804,0.9097,0.7676,0.7499,0.8070,0.6296,5.3100,0.0270,100,1.5000
mixed,cs10_ms10_eps0.0,0.7867,0.1802,0.9054,0.7312,0.7223,0.7836,0.6085,5.5300,0.0317,100,3.5000
mixed,cs10_msauto_eps0.0,0.7867,0.1802,0.9054,0.7312,0.7223,0.7836,0.6085,5.5300,0.0317,100,3.5000
mixed,cs20_ms20_eps0.1,0.7665,0.2180,0.8564,0.7358,0.7098,0.7636,0.6440,4.4400,0.0473,100,5.5000
mixed,cs20_msauto_eps0.1,0.7665,0.2180,0.8564,0.7358,0.7098,0.7636,0.6440,4.4400,0.0473,100,5.5000
mixed,cs20_ms20_eps0.0,0.7558,0.2207,0.8533,0.7210,0.6953,0.7527,0.6386,4.4800,0.0492,100,7.5000
mixed,cs20_msauto_eps0.0,0.7558,0.2207,0.8533,0.7210,0.6953,0.7527,0.6386,4.4800,0.0492,100,7.5000
mixed,cs50_ms50_eps0.0,0.6156,0.3152,0.7855,0.6220,0.5494,0.6126,0.5933,3.1700,0.1988,100,10.5000
mixed,cs50_ms50_eps0.1,0.6156,0.3152,0.7855,0.6220,0.5494,0.6126,0.5933,3.1700,0.1988,100,10.5000
mixed,cs50_msauto_eps0.0,0.6156,0.3152,0.7855,0.6220,0.5494,0.6126,0.5933,3.1700,0.1988,100,10.5000
mixed,cs50_msauto_eps0.1,0.6156,0.3152,0.7855,0.6220,0.5494,0.6126,0.5933,3.1700,0.1988,100,10.5000
scan_high,cs10_ms10_eps0.1,0.8709,0.0653,0.8777,0.8727,0.8362,0.8650,0.6446,10.4700,0.0430,100,1.5000
scan_high,cs10_msauto_eps0.1,0.8709,0.0653,0.8777,0.8727,0.8362,0.8650,0.6446,10.4700,0.0430,100,1.5000
scan_high,cs10_ms10_eps0.0,0.8648,0.0687,0.8773,0.8613,0.8241,0.8585,0.6403,10.6700,0.0469,100,3.5000
scan_high,cs10_msauto_eps0.0,0.8648,0.0687,0.8773,0.8613,0.8241,0.8585,0.6403,10.6700,0.0469,100,3.5000
scan_high,cs20_ms20_eps0.0,0.8309,0.0827,0.8086,0.8668,0.8067,0.8248,0.6741,7.6700,0.0725,100,5.5000
scan_high,cs20_msauto_eps0.0,0.8309,0.0827,0.8086,0.8668,0.8067,0.8248,0.6741,7.6700,0.0725,100,5.5000
