scenario,param_label,v_measure_mean,v_measure_std,homogeneity_mean,completeness_mean,ari_mean,ami_mean,silhouette_mean,n_clusters_pred_mean,noise_ratio_mean,n_windows,v_measure_rank
mixed,cs20_ms20_eps0.0,0.5645,0.1853,0.8304,0.4621,0.4319,0.5569,0.6082,8.8000,0.0098,100,2.5000
mixed,cs20_ms20_eps0.1,0.5645,0.1853,0.8304,0.4621,0.4319,0.5569,0.6082,8.8000,0.0098,100,2.5000
mixed,cs20_msauto_eps0.0,0.5645,0.1853,0.8304,0.4621,0.4319,0.5569,0.6082,8.8000,0.0098,100,2.5000
mixed,cs20_msauto_eps0.1,0.5645,0.1853,0.8304,0.4621,0.4319,0.5569,0.6082,8.8000,0.0098,100,2.5000
mixed,cs50_ms50_eps0.0,0.5419,0.2032,0.7078,0.4819,0.4575,0.5361,0.6050,5.0800,0.0446,100,6.5000
mixed,cs50_ms50_eps0.1,0.5419,0.2032,0.7078,0.4819,0.4575,0.5361,0.6050,5.0800,0.0446,100,6.5000
mixed,cs50_msauto_eps0.0,0.5419,0.2032,0.7078,0.4819,0.4575,0.5361,0.6050,5.0800,0.0446,100,6.5000
mixed,cs50_msauto_eps0.1,0.5419,0.2032,0.7078,0.4819,0.4575,0.5361,0.6050,5.0800,0.0446,100,6.5000
mixed,cs10_ms10_eps0.0,0.5007,0.2059,0.8743,0.3865,0.3309,0.4875,0.6243,18.1700,0.0275,100,10.5000
mixed,cs10_ms10_eps0.1,0.5007,0.2059,0.8743,0.3865,0.3309,0.4875,0.6243,18.1700,0.0275,100,10.5000
mixed,cs10_msauto_eps0.0,0.5007,0.2059,0.8743,0.3865,0.3309,0.4875,0.6243,18.1700,0.0275,100,10.5000
mixed,cs10_msauto_eps0.1,0.5007,0.2059,0.8743,0.3865,0.3309,0.4875,0.6243,18.1700,0.0275,100,10.5000
scan_high,cs20_ms20_eps0.0,0.6558,0.1088,0.7326,0.6045,0.4939,0.6398,0.7012,11.8700,0.0252,100,2.5000
scan_high,cs20_ms20_eps0.1,0.6558,0.1088,0.7326,0.6045,0.4939,0.6398,0.7012,11.8700,0.0252,100,2.5000
scan_high,cs20_msauto_eps0.0,0.6558,0.1088,0.7326,0.6045,0.4939,0.6398,0.7012,11.8700,0.0252,100,2.5000
scan_high,cs20_msauto_eps0.1,0.6558,0.1088,0.7326,0.6045,0.4939,0.6398,0.7012,11.8700,0.0252,100,2.5000
scan_high,cs10_ms10_eps0.0,0.6447,0.1065,0.8190,0.5409,0.4311,0.6176,0.7172,24.7900,0.0346,100,6.5000
