scenario,param_label,v_measure_mean,v_measure_std,homogeneity_mean,completeness_mean,ari_mean,ami_mean,n_clusters_pred_mean,noise_ratio_mean,n_windows,v_measure_rank
mixed,cs10_ms10_eps0.1,0.8097,0.1804,0.9097,0.7676,0.7499,0.807,5.31,0.027,100,1.5
mixed,cs10_msauto_eps0.1,0.8097,0.1804,0.9097,0.7676,0.7499,0.807,5.31,0.027,100,1.5
mixed,cs10_ms10_eps0.0,0.7867,0.1802,0.9054,0.7312,0.7223,0.7836,5.53,0.0317,100,3.5
mixed,cs10_msauto_eps0.0,0.7867,0.1802,0.9054,0.7312,0.7223,0.7836,5.53,0.0317,100,3.5
mixed,cs20_ms20_eps0.1,0.7665,0.218,0.8564,0.7358,0.7098,0.7636,4.44,0.0473,100,5.5
mixed,cs20_msauto_eps0.1,0.7665,0.218,0.8564,0.7358,0.7098,0.7636,4.44,0.0473,100,5.5
mixed,cs20_ms20_eps0.0,0.7558,0.2207,0.8533,0.721,0.6953,0.7527,4.48,0.0492,100,7.5
mixed,cs20_msauto_eps0.0,0.7558,0.2207,0.8533,0.721,0.6953,0.7527,4.48,0.0492,100,7.5
mixed,cs50_ms50_eps0.0,0.6156,0.3152,0.7855,0.622,0.5494,0.6126,3.17,0.1988,100,10.5
mixed,cs50_ms50_eps0.1,0.6156,0.3152,0.7855,0.622,0.5494,0.6126,3.17,0.1988,100,10.5
mixed,cs50_msauto_eps0.0,0.6156,0.3152,0.7855,0.622,0.5494,0.6126,3.17,0.1988,100,10.5
mixed,cs50_msauto_eps0.1,0.6156,0.3152,0.7855,0.622,0.5494,0.6126,3.17,0.1988,100,10.5
scan_high,cs10_ms10_eps0.1,0.8709,0.0653,0.8777,0.8727,0.8362,0.865,10.47,0.043,100,1.5
scan_high,cs10_msauto_eps0.1,0.8709,0.0653,0.8777,0.8727,0.8362,0.865,10.47,0.043,100,1.5
scan_high,cs10_ms10_eps0.0,0.8648,0.0687,0.8773,0.8613,0.8241,0.8585,10.67,0.0469,100,3.5
